Date,Open,High,Low,Close,Adj Close,Volume
2015-01-01,951.000000,954.400024,945.049988,952.049988,931.068054,886235
2015-01-02,950.400024,969.299988,950.400024,965.299988,944.026123,1475096
2015-01-05,970.000000,970.549988,955.099976,957.150024,936.055725,1199000
2015-01-06,954.000000,956.549988,937.549988,942.250000,921.484070,2054920
2015-01-07,939.700012,951.349976,936.250000,945.000000,924.173462,1436528
2015-01-08,954.250000,968.950012,948.200012,964.849976,943.585999,2381456
2015-01-09,972.900024,980.000000,966.599976,975.650024,954.148071,2246296
2015-01-12,969.400024,974.400024,964.500000,967.049988,945.737488,1031603
2015-01-13,968.950012,971.950012,955.700012,963.349976,942.119019,1457087
2015-01-14,960.049988,974.650024,959.700012,963.900024,942.656982,921308
2015-01-15,990.000000,998.200012,970.750000,993.150024,971.262390,2849619
2015-01-16,1002.200012,1014.900024,998.549988,1001.349976,979.281555,1955327
2015-01-19,1013.250000,1020.000000,1002.950012,1004.549988,982.411072,1059873
2015-01-20,1010.000000,1027.000000,1002.000000,1020.950012,998.449707,2126451
2015-01-21,1027.400024,1032.949951,1018.349976,1019.950012,997.471680,1685153
2015-01-22,1025.000000,1032.500000,1018.549988,1021.250000,998.743042,1617670
2015-01-23,1030.000000,1048.000000,1024.400024,1042.800049,1019.818176,2496978
2015-01-27,1042.800049,1077.750000,1040.900024,1074.050049,1050.379395,2490600
2015-01-28,1070.000000,1093.199951,1055.000000,1058.349976,1035.025391,2841235
2015-01-29,1075.000000,1100.599976,1061.000000,1095.000000,1070.867676,5141904
2015-01-30,1094.550049,1094.550049,1064.250000,1077.349976,1053.606689,2642604
2015-02-02,1068.500000,1093.000000,1052.349976,1081.599976,1057.762939,1427588
2015-02-03,1078.500000,1082.199951,1055.300049,1064.099976,1040.648682,2550172
2015-02-04,1063.000000,1080.800049,1057.250000,1067.699951,1044.169189,1549378
2015-02-05,1075.000000,1092.800049,1070.349976,1076.500000,1052.775513,2014787
2015-02-06,1077.000000,1078.949951,1050.050049,1053.500000,1030.282227,1725780
2015-02-09,1047.000000,1051.750000,1034.500000,1040.099976,1017.177612,1307974
2015-02-10,1030.000000,1062.300049,1030.000000,1054.449951,1031.211304,2318938
2015-02-11,1058.000000,1064.800049,1053.000000,1058.400024,1035.074341,1040397
2015-02-12,1065.099976,1081.900024,1052.699951,1076.000000,1052.286377,1381435
2015-02-13,1081.199951,1082.000000,1063.599976,1065.800049,1042.311157,1928625
2015-02-16,1075.800049,1085.000000,1062.500000,1067.550049,1044.022583,1847179
2015-02-18,1067.550049,1082.949951,1057.050049,1074.800049,1051.112793,1345423
2015-02-19,1074.000000,1084.900024,1063.800049,1079.800049,1056.002686,1126751
2015-02-20,1083.000000,1089.900024,1068.500000,1073.050049,1049.401367,1551506
2015-02-23,1077.099976,1081.550049,1062.000000,1067.500000,1043.973877,1395391
2015-02-24,1070.300049,1071.000000,1057.099976,1067.650024,1044.120483,1461572
2015-02-25,1070.000000,1074.800049,1050.000000,1052.449951,1029.255371,1162131
2015-02-26,1053.650024,1056.000000,1035.099976,1038.150024,1015.270569,3106736
