Date,Open,High,Low,Close,Adj Close,Volume
2015-04-06,1337.050049,1354.150024,1303.300049,1330.599976,1285.612549,2076100
2015-04-07,1332.650024,1341.750000,1312.550049,1328.699951,1283.776733,1946193
2015-04-08,1330.250000,1335.300049,1297.099976,1299.699951,1255.757080,2589418
2015-04-09,1309.900024,1316.550049,1286.500000,1303.050049,1258.994019,3333998
2015-04-10,1304.699951,1308.650024,1282.949951,1290.349976,1246.723389,2003341
2015-04-13,1299.900024,1312.000000,1291.199951,1305.250000,1261.119629,2030711
2015-04-15,1305.250000,1313.500000,1279.599976,1290.449951,1246.820068,2830551
2015-04-16,1294.800049,1310.000000,1281.099976,1306.800049,1262.617310,3456440
2015-04-17,1306.699951,1315.949951,1297.199951,1306.699951,1262.520508,2204849
2015-04-20,1295.000000,1305.750000,1256.199951,1268.650024,1225.756958,2966624
2015-04-21,1266.650024,1276.800049,1243.300049,1258.150024,1215.612061,2954400
2015-04-22,1261.099976,1285.000000,1258.000000,1277.199951,1234.017822,2774253
2015-04-23,1283.000000,1297.650024,1267.000000,1276.050049,1232.906982,3429256
2015-04-24,1271.000000,1275.000000,1234.099976,1245.150024,1203.051514,1693928
2015-04-27,1251.900024,1255.000000,1196.650024,1211.750000,1170.780884,3816253
2015-04-28,1214.000000,1236.400024,1188.599976,1228.250000,1186.723022,3962095
2015-04-29,1225.000000,1237.000000,1191.099976,1201.150024,1160.539185,4661402
2015-04-30,1199.300049,1200.000000,1160.099976,1170.000000,1130.442383,7207702
2015-05-04,1170.000000,1205.750000,1170.000000,1202.199951,1161.553467,4151853
2015-05-05,1197.000000,1201.800049,1178.099976,1180.349976,1140.442261,2910239
2015-05-06,1179.949951,1179.949951,1151.199951,1163.599976,1124.258545,5476440
2015-05-07,1161.650024,1172.849976,1147.000000,1154.250000,1115.224731,3674392
2015-05-08,1167.449951,1200.000000,1160.599976,1185.349976,1145.273315,3665418
2015-05-11,1195.000000,1230.550049,1191.599976,1226.099976,1184.645508,3535741
2015-05-12,1223.000000,1223.000000,1184.449951,1191.349976,1151.070557,3890498
2015-05-13,1195.500000,1228.699951,1187.849976,1219.400024,1178.171997,2388304
2015-05-14,1224.400024,1224.400024,1192.000000,1209.699951,1168.800049,1592211
2015-05-15,1215.000000,1236.449951,1205.750000,1234.300049,1192.568359,1926050
2015-05-18,1234.000000,1271.000000,1227.000000,1264.300049,1221.554199,1779600
2015-05-19,1258.000000,1264.199951,1232.250000,1240.550049,1198.607056,1645261
2015-05-20,1245.000000,1273.400024,1242.300049,1270.050049,1227.109619,1538286
2015-05-21,1266.199951,1273.400024,1245.250000,1255.949951,1213.486328,1869513
2015-05-22,1256.400024,1292.949951,1252.099976,1288.050049,1244.500977,1816951
2015-05-25,1280.000000,1288.000000,1250.000000,1252.650024,1210.298096,1035874
2015-05-26,1252.099976,1260.000000,1233.449951,1240.449951,1198.510254,1157981
2015-05-27,1231.000000,1245.000000,1229.000000,1239.900024,1197.979004,2128114
2015-05-28,1242.000000,1249.300049,1206.550049,1229.250000,1187.688965,3185460
2015-05-29,1229.000000,1248.000000,1218.750000,1236.050049,1194.259155,8462128
2015-06-01,1236.099976,1255.000000,1236.099976,1247.750000,1205.563599,1565269
2015-06-02,1247.000000,1250.099976,1197.050049,1203.099976,1162.423218,2840010
2015-06-03,1202.550049,1217.849976,1194.000000,1202.849976,1162.181641,1669000
2015-06-04,1209.199951,1225.000000,1190.000000,1216.000000,1174.886963,1559731
2015-06-05,1213.000000,1217.000000,1193.800049,1201.349976,1160.732300,1562369
2015-06-08,1202.000000,1205.000000,1171.000000,1176.750000,1136.963989,1709199
2015-06-09,1179.500000,1196.000000,1176.650024,1188.800049,1148.606812,1405906
2015-06-10,1182.099976,1205.000000,1182.099976,1190.550049,1150.297607,1909498
2015-06-11,1198.000000,1200.000000,1157.949951,1164.300049,1124.935181,2885206
2015-06-12,1156.000000,1194.900024,1156.000000,1190.400024,1150.152588,2189916
2015-06-15,1189.900024,1218.000000,1183.349976,1214.550049,1173.486084,2625930
2015-06-16,1210.300049,1213.949951,1180.250000,1199.050049,1158.510254,1624342
2015-06-17,1208.000000,1217.900024,1196.300049,1200.900024,1160.297607,2468727
2015-06-18,1201.000000,1219.599976,1200.000000,1213.300049,1172.278320,2158585
2015-06-19,1222.900024,1247.550049,1219.000000,1236.849976,1195.032104,3996806
2015-06-22,1240.000000,1274.500000,1238.099976,1271.550049,1228.558960,1686424
2015-06-23,1272.800049,1288.699951,1260.250000,1285.199951,1241.747314,2574782
2015-06-24,1283.500000,1294.849976,1265.699951,1283.900024,1240.491455,3659720
2015-06-25,1278.199951,1314.000000,1273.750000,1308.849976,1264.597778,3542983
2015-06-26,1305.000000,1310.000000,1275.199951,1287.849976,1244.307861,2363289
2015-06-29,1265.500000,1293.400024,1260.000000,1285.500000,1242.037354,1926719
2015-06-30,1289.900024,1302.849976,1278.250000,1296.449951,1252.616943,3046510
2015-07-01,1296.000000,1302.949951,1287.750000,1292.699951,1248.993774,2734800
2015-07-02,1293.550049,1297.900024,1280.300049,1285.199951,1241.747314,2411326
2015-07-03,1286.900024,1323.000000,1278.500000,1316.050049,1271.554443,2442597
2015-07-06,1304.199951,1321.250000,1298.750000,1317.599976,1273.052002,1300415
2015-07-07,1324.000000,1347.400024,1320.000000,1337.300049,1292.085938,2026043
2015-07-08,1324.849976,1332.250000,1285.099976,1290.050049,1246.433594,3407908
2015-07-09,1291.099976,1299.099976,1281.849976,1285.300049,1241.844116,1370979
2015-07-10,1287.800049,1294.300049,1278.900024,1283.349976,1239.959839,2821543
2015-07-13,1298.000000,1327.000000,1282.050049,1323.750000,1278.994141,2793035
2015-07-14,1322.599976,1322.949951,1309.099976,1318.400024,1273.824951,1150810
2015-07-15,1316.750000,1343.949951,1311.500000,1340.150024,1307.734497,1928257
2015-07-16,1342.000000,1372.400024,1342.000000,1359.699951,1326.811401,2199590
2015-07-17,1359.900024,1359.900024,1323.699951,1326.650024,1294.560913,1981172
2015-07-20,1332.650024,1333.400024,1303.000000,1315.349976,1283.534302,2306364
2015-07-21,1315.349976,1329.349976,1306.150024,1311.599976,1279.875000,2360671
2015-07-22,1306.000000,1349.949951,1303.349976,1345.750000,1313.199097,1081532
2015-07-23,1349.900024,1357.449951,1341.500000,1350.550049,1317.882813,1642862
2015-07-24,1355.000000,1365.000000,1336.650024,1358.750000,1325.884644,1915369
2015-07-27,1353.449951,1359.150024,1329.800049,1336.000000,1303.684692,2164764
2015-07-28,1332.000000,1337.000000,1298.650024,1304.400024,1272.849243,3844471
2015-07-29,1310.000000,1332.000000,1305.000000,1312.050049,1280.314087,1996159
2015-07-30,1327.000000,1352.000000,1323.349976,1335.800049,1303.489746,3233875
2015-07-31,1334.699951,1350.000000,1329.900024,1340.400024,1307.978394,2843990
2015-08-03,1331.199951,1350.500000,1315.650024,1324.349976,1292.316650,2473182
2015-08-04,1324.400024,1331.099976,1299.699951,1302.449951,1270.946167,2421674
2015-08-05,1307.400024,1319.949951,1300.000000,1302.449951,1270.946167,1916199
2015-08-06,1304.250000,1313.400024,1289.000000,1303.849976,1272.312500,2429289
2015-08-07,1306.300049,1315.000000,1295.599976,1298.449951,1267.042969,1641394
2015-08-10,1305.949951,1333.400024,1298.099976,1305.500000,1273.922363,1534353
2015-08-11,1306.750000,1306.949951,1284.000000,1290.650024,1259.431763,2196313
2015-08-12,1284.500000,1284.500000,1257.750000,1261.949951,1231.425903,1596340
2015-08-13,1261.949951,1273.000000,1250.099976,1256.949951,1226.546753,2627973
2015-08-14,1268.250000,1306.900024,1258.750000,1299.949951,1268.506714,2309630
2015-08-17,1300.000000,1306.199951,1271.800049,1279.599976,1248.649048,1117732
2015-08-18,1280.500000,1285.750000,1263.400024,1266.099976,1235.475464,1425177
2015-08-19,1259.000000,1264.849976,1248.699951,1256.300049,1225.912720,2263710
2015-08-20,1258.000000,1266.900024,1246.000000,1249.900024,1219.667358,2591779
2015-08-21,1238.000000,1239.000000,1214.000000,1228.349976,1198.638550,2820891
2015-08-24,1194.300049,1195.000000,1155.849976,1167.750000,1139.504395,4955839
2015-08-25,1177.300049,1187.050049,1136.099976,1145.550049,1117.841553,5830034
2015-08-26,1145.000000,1158.150024,1093.199951,1102.349976,1075.686279,8008888
2015-08-27,1120.000000,1204.199951,1120.000000,1193.900024,1165.021851,9119089
2015-08-28,1201.449951,1215.699951,1179.099976,1201.900024,1172.828369,3103897
2015-08-31,1204.000000,1213.800049,1176.550049,1186.150024,1157.459473,3482922
2015-09-01,1175.000000,1176.349976,1146.000000,1157.400024,1129.404785,2672450
2015-09-02,1175.000000,1179.000000,1110.099976,1123.150024,1095.983154,6095077
2015-09-03,1139.000000,1176.349976,1125.849976,1172.050049,1143.700439,3026650
2015-09-04,1161.000000,1163.949951,1131.550049,1141.599976,1113.986938,2511258
2015-09-07,1145.000000,1176.599976,1137.050049,1155.050049,1127.111694,2977414
2015-09-08,1158.000000,1180.000000,1151.150024,1171.050049,1142.724609,2558799
2015-09-09,1183.500000,1203.400024,1178.500000,1186.650024,1157.947388,2732329
2015-09-10,1167.550049,1174.900024,1149.500000,1162.750000,1134.625366,2039371
2015-09-11,1175.000000,1186.000000,1170.250000,1176.349976,1147.896484,2011360
2015-09-14,1177.349976,1188.500000,1163.699951,1184.699951,1156.044189,1505450
2015-09-15,1176.650024,1184.449951,1165.449951,1178.599976,1150.091919,1839713
2015-09-16,1189.900024,1200.000000,1184.000000,1196.349976,1167.412720,1981532
2015-09-18,1196.349976,1235.750000,1195.099976,1207.050049,1177.853760,4775438
2015-09-21,1187.800049,1209.699951,1185.500000,1207.300049,1178.097900,1318331
2015-09-22,1217.000000,1217.000000,1163.099976,1168.599976,1140.333862,2102372
2015-09-23,1155.000000,1173.400024,1144.250000,1165.949951,1137.748047,2474928
2015-09-24,1165.000000,1184.400024,1151.000000,1181.849976,1153.263428,2492993
2015-09-28,1181.849976,1189.000000,1163.449951,1172.150024,1143.797974,1479204
2015-09-29,1164.400024,1230.949951,1152.500000,1216.800049,1187.368042,4094857
2015-09-30,1244.000000,1244.000000,1200.750000,1212.750000,1183.416016,4753919
2015-10-01,1232.800049,1232.800049,1192.099976,1196.599976,1167.656494,3065028
2015-10-05,1196.599976,1262.699951,1196.599976,1256.949951,1226.546753,3654176
2015-10-06,1268.000000,1271.000000,1238.349976,1265.199951,1234.597290,3144090
2015-10-07,1258.000000,1280.000000,1258.000000,1277.449951,1246.551025,1507689
2015-10-08,1278.500000,1279.800049,1258.449951,1278.099976,1247.185181,1314118
2015-10-09,1286.000000,1299.000000,1275.400024,1291.699951,1260.456177,2002920
2015-10-12,1292.000000,1295.349976,1261.949951,1270.250000,1239.525146,1610929
2015-10-13,1270.000000,1282.500000,1263.199951,1278.699951,1247.770752,1768441
2015-10-14,1273.650024,1297.000000,1273.650024,1294.150024,1262.847168,1170630
